filename, event timestamps,,,,,
1s_44100_2ch_16b.wav,0,0.321337868480726,0.452721088435374,0.687868480725624,0.852721088435374,0.999988662131519
out1.wav,0.389375,0.4394375,1.03025,1.068375,1.2438125,1.3804375
out2.wav,0.39625,0.437375,1.0325625,1.0706875,1.2484375,1.383125
out3.wav,0.4025625,0.4414375,1.0298125,1.0679375,1.245625,1.380375
out4.wav,0.3921875,0.44925,1.0399375,1.0666875,1.244375,1.37875
out5.wav,0.3933125,0.454875,1.0159375,1.0676875,1.2454375,1.3798125
out6.wav,0.3893125,0.459,1.0484375,1.0683125,1.246125,1.3804375
out7.wav,0.3956875,0.455,1.0456875,1.0480625,1.245625,1.3845
out8.wav,0.39375,0.4485625,1.0165625,1.0704375,1.2459375,1.3825625
out9.wav,0.4016875,0.445125,1.0494375,1.071625,1.2494375,1.38375
out10.wav,0.3940625,0.4465625,1.0235625,1.0684375,1.2439375,1.3805625
,,,,,,
,,,,,,
,,,,,,
,,,,,,
filename,Delay ,,,,,
out1.wav,0.389375,0.118099631519274,0.577528911564626,0.380506519274376,0.391091411564626,0.380448837868481
out2.wav,0.39625,0.116037131519274,0.579841411564626,0.382819019274376,0.395716411564626,0.383136337868481
out3.wav,0.4025625,0.120099631519274,0.577091411564626,0.380069019274376,0.392903911564626,0.380386337868481
out4.wav,0.3921875,0.127912131519274,0.587216411564626,0.378819019274376,0.391653911564626,0.378761337868481
out5.wav,0.3933125,0.133537131519274,0.563216411564626,0.379819019274377,0.392716411564626,0.379823837868481
out6.wav,0.3893125,0.137662131519274,0.595716411564626,0.380444019274376,0.393403911564626,0.380448837868481
out7.wav,0.3956875,0.133662131519274,0.592966411564626,0.360194019274377,0.392903911564626,0.384511337868481
out8.wav,0.39375,0.127224631519274,0.563841411564626,0.382569019274376,0.393216411564626,0.382573837868481
out9.wav,0.4016875,0.123787131519274,0.596716411564626,0.383756519274376,0.396716411564626,0.383761337868481
out10.wav,0.3940625,0.125224631519274,0.570841411564626,0.380569019274376,0.391216411564626,0.380573837868481
,,,,,,
,,,,,,
,,,,,,
,0.375865676965231,,,,,
